POS;Feat_conv;DEP;XFeat;Etiquette;pb;rq;ordre;
particle;_;_;Intensive ;INT;pluriactional;;4;
_;imperfective;_;Imperfective ;IPFV;;;2;
_;_;_;Irregular ;IRG;;VerbClass=3;4;
other;_;_;Linker;L;;;;
_;locative;_;Locative ;LOC;;;;
verb;light_verb;_;Light Verb;LV;;VerbClass=4;;
_;masculine;_;Masculine ;M;;;;
noun;_;_;Noun ;N;;;;
noun;_;agent;Agent Noun ;N.AGN;;;;
verb;Vnoun;_;Verbal Noun;N.V;;;; 
particle;negative;_;Negative ;NEG;;;1;
_;nominative;_;Nominative ;NOM;;;;
numeral;_;_;Numeral;NUM;;;;
proper noun;_;_;Proper ;NP;;;;
noun;Vnoun;_;Verbal Noun ;NV;;;;
_;_;obj;Object ;OBJ;;;;
interjection;_;_;Onomatopea ;ONOM;;;4;
_;optative;_;Optative ;OPT;;;;
_;ordinal;_;Ordinal ;ORD;;;;
_;passive;_;Passive ;PASS;;;;
_;perfective;_;Perfectiv ;PFV;;;;
_;plural;_;Plural ;PL;;;;
_;_;_;Pluractional ;PLAC;;;;
particle;_;_;Person-Number-Gender ;PNG;;;;
_;formal;_;Polite ;POL;;;4;
_;possessive;_;Possessive ;POSS;;;;
adposition;_;_;Postposition ;POSTP;;;;
auxiliary;_;_;Potential (auxiliary);POT;;;;
particle;_;_;Predicative nominal enclitic;PRED.N;;;3;
_;perfect;_;Perfect ;PRF;;;;
particle;_;_;Prefix ;PRFX;;;;
pronoun;_;_;Pronoun ;PRO;;;;
pronoun;interrogative;_;Interrogative Pronoun;PRO.Q;;;;
pronoun;_;_;Reflexive Pronoun;PRO.REFL;;;;
_;prohibitive;_;Prohibitive ;PROH;?;;4;
_;demonstrative_prox;_;Proximal ;PROX;;;4;
particle;_;_;Particle ;PTCL;;;;
punctuation;_;_;_;PUNCT;;;;
adverb;question_part;_;Polar interrogative;Q;;;;
_;_;_;Recipient ;RCPT;?;;4;
_;reciprocal;_;Reciprocal ;RECP;;;;
_;reflexive;_;Reflexive ;REFL;;;;
subordinating conjunction;_;_;Relative Marker;REL;;;;
_;_;subj;Subject ;SBJ;;;;
_;singular;_;Singular ;SG;;;;
_;equative;_;Similative ;SIMIL;;;2;
_;singulative;_;Singulative ;SING;? Singular tantum, comment l'écrire ? NumValue=1 ? Pas singulier classique;;2;
particle;_;_;Suffix ;SUFX;;;1;
particle;_;_;_;TAM;;;;
verb;Vclasse1;_;Class 1 Verb;V1;;VerbClass=1;;
verb;Vclasse2;_;Class 2 Verb;V2;;VerbClass=2;;
subordinating conjunction;_;_;Verbonominal ;VN;?;;1;
_;vocative;_;Vocative ;VOC;;;;
auxiliary;_;_;Volitive (auxiliary);VOL;;;;
